Compared_TF overlap proportion_of_compared_TF
wgEncodeSydhTfbsK562Stat1Ifng30StdPk.narrowPeak 890 159 0.178651685393
wgEncodeSydhTfbsGm12878MafkIggmusPk.narrowPeak 3109 158 0.050820199421
wgEncodeHaibTfbsSknshMef2aV0422111PkRep2.broadPeak 2294 154 0.0671316477768
wgEncodeSydhTfbsK562Stat2Ifna30StdPk.narrowPeak 427 154 0.360655737705
wgEncodeSydhTfbsK562Stat2Ifna6hStdPk.narrowPeak 610 153 0.250819672131
wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep1.broadPeak 3190 151 0.0473354231975
wgEncodeHaibTfbsA549GrPcr1xDex500pmPkRep2.broadPeak 647 150 0.231839258114
wgEncodeSydhTfbsHelas3Zzz3StdPk.narrowPeak 1329 149 0.112114371708
wgEncodeHaibTfbsH1hescRxraV0416102PkRep1.broadPeak 746 142 0.190348525469
wgEncodeHaibTfbsH1hescFosl1sc183V0416102PkRep2.broadPeak 535 140 0.261682242991
wgEncodeSydhTfbsHelas3Spt20StdPk.narrowPeak 211 120 0.568720379147
wgEncodeSydhTfbsGm12878Pol3StdPk.narrowPeak 112 119 1.0625
wgEncodeSydhTfbsHelas3Brf1StdPk.narrowPeak 302 118 0.390728476821
wgEncodeSydhTfbsHepg2ErraForsklnStdPk.narrowPeak 303 113 0.372937293729
wgEncodeSydhTfbsK562Stat1Ifna6hStdPk.narrowPeak 344 100 0.290697674419
wgEncodeSydhTfbsK562Sirt6StdPk.narrowPeak 447 97 0.217002237136
wgEncodeSydhTfbsK562Ini1IggmusPk.narrowPeak 452 92 0.203539823009
wgEncodeHaibTfbsHepg2Tcf12Pcr1xPkRep2.broadPeak 1117 82 0.0734109221128
wgEncodeHaibTfbsHepg2Sp1Pcr1xPkRep2.broadPeak 7778 80 0.0102854204166
wgEncodeSydhTfbsK562Stat1Ifna30StdPk.narrowPeak 258 78 0.302325581395
wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep2.broadPeak 1705 74 0.0434017595308
wgEncodeSydhTfbsHepg2Srebp2PravastStdPk.narrowPeak 103 74 0.718446601942
wgEncodeSydhTfbsK562Pol3StdPk.narrowPeak 81 71 0.876543209877
wgEncodeSydhTfbsK562Brf1StdPk.narrowPeak 74 69 0.932432432432
wgEncodeSydhTfbsHepg2Srebp1PravastStdPk.narrowPeak 114 62 0.543859649123
wgEncodeSydhTfbsK562Brg1IggmusPk.narrowPeak 638 62 0.0971786833856
wgEncodeSydhTfbsHelas3Brf2StdPk.narrowPeak 123 47 0.382113821138
wgEncodeSydhTfbsHepg2Pgc1aForsklnStdPk.narrowPeak 53 33 0.622641509434
wgEncodeSydhTfbsK562Setdb1MnasedUcdPk.narrowPeak 1126 30 0.0266429840142
wgEncodeSydhTfbsGm12878JundStdPk.narrowPeak 1044 28 0.0268199233716
wgEncodeSydhTfbsHelas3Brg1IggmusPk.narrowPeak 65 26 0.4
wgEncodeSydhTfbsK562Brf2StdPk.narrowPeak 19 18 0.947368421053
wgEncodeSydhTfbsH1hescZnf274m01UcdPk.narrowPeak 2275 16 0.00703296703297
wgEncodeSydhTfbsNt2d1Znf274UcdPk.narrowPeak 1943 15 0.00772002058672
wgEncodeSydhTfbsK562Xrcc4StdPk.narrowPeak 15 13 0.866666666667
wgEncodeSydhTfbsGm12878Znf274StdPk.narrowPeak 1483 8 0.00539447066757
wgEncodeSydhTfbsGm08714Znf274UcdPk.narrowPeak 992 5 0.00504032258065
wgEncodeSydhTfbsHelas3Znf274UcdPk.narrowPeak 224 2 0.00892857142857
wgEncodeSydhTfbsK562Znf274UcdPk.narrowPeak 256 1 0.00390625
wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak 425 0 0.0
